Country,Magnitude,Date,More information
Afghanistan,7.8,15-Nov-21,[9]
Albania,6.7,30-Nov-67,[10]
Algeria,7.1,10-Oct-80,1980 El Asnam earthquake
Antarctica,8.1,25-Mar-98,[11]
Armenia,6.8,7-Dec-88,1988 Armenian earthquake
Argentina,7.5,27 October 1894,1894 San Juan earthquake
Australia,6.7,22-Jan-88,[12]
Austria,5.5,15 September 1590,1590 Neulengbach earthquake
Azerbaijan,6.9,25 November 1667,1667 Shamakhi earthquake
Bangladesh,8.8,2 April 1762,1762 Arakan earthquake
Belgium,6.3,18 September 1692,Epicentre: Verviers[13]
Bhutan,6.6,21-Jan-41,[14]
Bolivia,8.2,9-Jun-94,1994 Bolivia earthquake
Bosnia and Herzegovina,6.4,27-Oct-69,Banja Luka earthquake
Botswana,6.5,3-Apr-17,2017 Botswana earthquake
Brazil,7.6,9-Nov-63,[15]
British Indian Ocean Territory,6,29-Apr-52,[16]
Bulgaria,7.2,4-Apr-04,see List of earthquakes in Bulgaria
Burundi,5.3,29-Jan-78,[18]
Canada,8.7,26 January 1700,1700 Cascadia earthquake
Chile,9.4,22-May-60,1960 Valdivia earthquake
China,8.6,15-Aug-50,1950 Assamâ€“Tibet earthquake
Cocos Islands,7.9,18-Jun-00,[19]
Colombia,8.8,31-Jan-06,1906 Ecuadorâ€“Colombia earthquake
Comoros,6,29-Apr-52,[20]
Costa Rica,7.7,22-Apr-91,1991 Limon earthquake
Croatia,6.3,9 November 1880,1880 Zagreb earthquake
Cuba,7.5,21-Jun-00,List of earthquakes in Cuba[21]
Cyprus,7,11 May 1222,1222 Cyprus earthquake
Czech Republic,4.8,23-Dec-85,[23]
Democratic Republic of the Congo,6.8,5-Dec-05,2005 Lake Tanganyika earthquake
Denmark,4.4,19-Feb-10,Jutland
Djibouti,6.5,20-Aug-89,[27]
Dominican Republic,8.1,4-Aug-46,1946 Dominican Republic earthquake
Ecuador,8.8,31-Jan-06,1906 Ecuadorâ€“Colombia earthquake
Egypt,7.3,22-Nov-95,1995 Gulf of Aqaba earthquake
El Salvador,8,19 December 1862,[28]
Eritrea,6.2,23-Sep-15,[29]
Estonia,4.7,25-Oct-76,1976 Osmussaare earthquake
Ethiopia,6.5,30-Jun-19,[30]
Finland,4.7,4 November 1898,"Tornio, 66.2Â°N, 25.0Â°E[31]"
Fiji,7.8,1-Jan-19,[32]
France,6.2,11-Jun-09,1909 Provence earthquake
Gabon,6.2,23-Sep-74,[33]
Germany,6.1,18 February 1756,1756 DÃ¼ren earthquake
Georgia,7,29-Apr-91,1991 Racha earthquake
Ghana,6.4,22-Jun-39,[34]
Greece,8.5,21 July 365,365 Crete earthquake
